S no	Book Name	Author	Publisher	Rate	Qty
1	SQL THE COMPLETE REFERENCE	GROFF 	TMH	1199	1
2	HTML-THE COMPLETE REFERENCE	POWELL	TMH 	1199	3
3	JAVA SCRIPT STEP BY STEP	SUEHRING	PHI	495	2
4	BIG DATA & ANALYTICS	ACHARYA 	WILEY IND	689	3
5	VISUAL BASIC & .NET 4.5 PROGRAM	HILLER	WILEY IND	699	3
6	INTN TO PYTHON PRGRAMMING	GOWRISHANKAR	CRC PRESS	1195	3
7	SYSTEM SOFTWARE	BECK	PEARSON E	965	3
8	ARTIFICIAL INTELLIGENCE	RUSSEL	PEARSON E	1025	2
9	INTN TO COMPUTER SCIENCE-PYT	CHARLES DI	WILEY IND	649	1
10	PYTHON PROGRAMMING	SATHYANARA	UNIVERSIT	660	2
11	SOFTWARE ENGINEERING	SOMMERVILL	PEARSON E	1055	2
12	AN INTEGRATED APPROCH TO SOFTWARE	JALOTE & P	NAROSA	995	3
13	SOFTWARE ENGINEERING	RAJIB MALL	PHI	595	2
14	DATA STRUCTURES USING C	REEMA THER	OXFORD	725	3
15	PYTHON PROGRAMMING	TANEJA & NAV	PEARSON E	615	3
16	INTRODUCTION TO PROTEIN INFORM	ZIMMERMAN	SPRINGER	695	1
17	PROTEIN ANALYSIS & PURIFICATION	ROSEN YESDEE	YESDEE	995	1
18	PHP THE COMPLETE REFERENCE	HOLZNER	TATA'S	1199	3
19	CRYPTOGRAPHY & NETWORK SECURITY	STALLINGS	PEARSON E	895	3
20	COMPLIERS :PRINCIPELS,TECHNIQU	AHO,ULLMAN	PEARSON E	1055	3
21	SOFTWARE ENGINEERING	PRESSMAN	MCGRAW HI	999	3
22	DATA STRUCTURES & ALGO ANALYSIS	MARK ALLEN	PEARSON E	970	3
23	DATA STRUCTURES & ALGORITHMS	AHO,ULLMAN	PEARSON E	1150	3
24	ARTIFICIAL INTELLIGENCE	RUSSEL	PEARSON E	1000	1
25	OPERATING SYSTEM	DEITAL	PEARSON E	1190	2
26	PRINCIPLES OF SOFT COMPUTING	SIVANANDAM	WILEY IND	899	1
27	PYTHON PROGRAMMING	REEMA THER	OXFORD	625	3
28	PROBLEM SOLVING & PYTHON PROGRAM	KAMTHENE	MCGRAW HI	575	1
29	MICROPROCESSOR ARCHITECTURE,PROGRAM	GOANKAR	PENRAM	755	1
30	PROBLEM SOLVING & PYTHON PROGRAM	KULKARNI	YESDEE	495	1
31	INTRODUCTION TO ROBOTICS	CRAIG ZACK	PEARSON E	919	2
32	PROBLEM SOLVING WITH PYTHON PROGRAM	MANI	YESDEE	599	1
33	INTERNET OF THINGS	RAJKAMAL	MCGRAW HI	799	1
34	SOFTWARE ENGINEERING CONCEPTS	SUMAN	CENGAGE L	499	1
35	WINDOWS SERVER THE COMPLETE REF	RUDIN	MCGRAW HI	998	1
36	VISUAL C++ THE COMPLETE REFERE	PAPPAS	TMH	1195	1
37	PROLOG PROGRAMMING FOR AI	IVAN BRATC	PEARSON E	1390	3
38	SOFTWARE ENGINEERING	PEEEGER	PEARSON E	899	1
39	INTERNET OF THINGS FOR BEGINEE	PANKAJAVAL	YESDEE	175	1
40	FASCINATING PRJECTS ON C++	KAVITHA	DIPTI PRE	225	1

1	DIGITAL LGIC COMPUTER DESIGN	MORRIS MANO	PEARSON	865	1
2	COMPUTER ALGORITHM	ELLIZORWITZ	ORIENT LONG MAN	896	2
3	SYSTEM SOFTWARE	LEAND BECK		1030	1
4	THE COMPLETE REFERENCE JAVA	HERNERT SCHIDT	TMH	1295	1
5	PROGRAMMING WITH JAVA	BALAGURUSWAMY	MCGRAW HILL	750	1
6	JAVA PROGRAMMING BY	SAGAYARAJ		995	1
7	COMPUTER GRAPHICS	HAREM BAKER	PEARSON	1065	1
8	XML AND WEB SERVICES UNLEASHED	RON SCHLME YAR	PEARSON	1269	1
9	FUNDAMENTALS OF DATA STRUCTURES IN C++	ELLIS HOROWITZ	ORIENT BLOCK SWAN	925	1
10	LEARNING PYTHON 	MARK LUTZ	SHROFF	2650	1
11	DATA COMMUNCATION AND NETWORKING	FOROZUN	TMH	975	2
12	DATA AND COMPUTER COMMUNICATIONS	STALLING		910	2
13	COMPUTER SYSTEM ARCHITECTURE	MARRIS MANO		940	1
14	WEB TECHNOLOGY	JAFFREY JACKSON	PEARSON	865	1
15	DATA BASE SYSTEM CONCEPTS	ABRAHAM	MCGRAW HILL	1199	2
16	 DATA MINING	MARGARATE 	PEARSON	1000	1
17	DATA WAREHOUSING IN THE REAL WORLD	SAM ANAHORY	PEARSON	769	2
18	MICROPROCESSOR	B RAM	DANPAT RAI	495	1
19	MULTIMEDIAMAKING IT WORK	TAY VAUGHAM	TMH	999	1
20	PYTHON PROGRAMING	REEMA THAREJA	OXFORD	725	2
21	CORE PYTHON PROGRAMMING 	NAGESWAR RAO		829	2
22	PROGRAMING IN PHP	KEVIN TATROE	SPD PUB	1800	2
23	DATA STRUCTURES AND ALGORITHMS ANALYSIS IN C	MARK ALEN WEISS	PEARSON	820	2
24	DATA STRUCTURES &ALGORITHMS ANALYSIS IN C++	MARK ALEN WEISS	PEARSON	970	2
25	DATA STRUCTURES USING C	REEMA THAREJA	OXFORD	625	2
26	THE COPLETE REFERENCE JAVA	HERBART SCHIDT	TMH	1295	1
27	THE COPLETE REFERENCE C++	HERBART SCHILD		995	1
28	SOFTWARE ENJINEERING	PRESSMAN	MCGRAW HILL	999	1
29	OPERATING SYSTEM	WILLIAM  STALLING		990	2
30	OPERATING SYSTEM	SIBERTSCHTZ	WILEY	849	2
31	DATA MINING	MICHAL HAN KABER	ELSIVER	750	2
32	MICROPROCCESORS ARCHITECTURE&PROGRAMING	RAMESH		595	1
33	PROFESSIONAL ASP.NET MVC 5	JON AGALLOWAY	WROX	1595	1
34	INTRDUCING DATA SCIENCE	DAVY CIELEN	DREANTECH	849	1
35	HUMAN COMPUTER INTERACTION 	ALEN DIX	PEARSON	959	1
36	ESSENTIAL OF DATABASE MANAGEMENT SYSTEM	ALEXIS	LEON	595	2
37	XML AND WEB SERVICES 	COYLE	PEARSON	699	1
38	FUNDAMENTALS OF CAND DATA STRUCTURES 	ASHA GOWDA		695	2
39	HEAD FIRST ANDRIS DEVELOPMENT	KEITH SEIRA	DAWN GRIFFTHS	1200	2
40	MINING OF MASSIVE DATASET 	JURE LESKOVEC		1095	1
41	MULTIMEDIA SYSTEM	BUFFORD	PEARSON	965	2
42	DISTRIBUTED CLOUD COMPUTING	KAI HAWANG		725	2
43	THE C++ PROGRAMMING LAUNGUAGE	STROUSTRUP	PEARSON	1235	1
